CodigoProduto;SaldoDisponivel
00;0
00.00.00.00.00.00;0
0000;0
1.01.01.001.01;0
1.01.01.002.00;0
1.01.01.003.00;0
1.01.01.005.00;2
1.01.01.006.08;0
1.01.01.007.00;0
1.01.01.008.01;0
1.01.01.009.00;0
1.01.01.010.00;0
1.01.01.011.00;0
1.01.01.012.01;0
1.01.01.013.08;0
1.01.01.014.08;0
1.01.01.015.01;0
1.01.01.016.01;0
1.06.01.018.00;7
1.06.01.019.00;0
1.06.01.020.00;0
1.06.01.021.00;0
1.06.01.022.00;0
1.06.01.023.00;0
1.06.01.024.00;0
1.06.01.025.00;0
1.06.01.026.00;0
1.06.01.027.00;0
1.06.01.028.00;0
10.01.01.01.00;0
10.01.01.02.00;0
10.01.01.03.00;0
10.01.01.04.00;0
10.01.01.05.00;0
10.01.01.06.00;0
10.01.01.07.00;0
10.01.01.08.00;0
10.01.01.09.00;0
10.01.01.10.00;0
10.01.01.11.00;0
10.01.01.12.00;0
10.01.01.13.00;0
10.01.01.25.00;0
10.01.01.26.00;0
10.01.01.27.00;0
10.01.01.29.00;0
10.02.01.01.00;0
10.02.01.02.00;0
10.02.01.03.00;0
10.02.01.04.00;0
10.02.01.05.00;0
10.02.01.06.00;0
10.02.01.07.00;0
10.02.01.08.00;0
10.02.01.09.00;0
10.02.01.10.00;0
10.02.01.11.00;0
10.02.01.12.00;0
10.02.01.31.00;0
10.02.01.32.00;0
10.03.01.01.00;0
10.03.01.02.00;0
10.03.01.03.00;0
10.03.01.04.00;0
10.03.01.05.00;0
10.03.01.06.00;0
10.03.01.07.00;0
10.03.01.24.00;0
10.04.01.01.00;0
10.04.01.02.00;0
10.04.01.03.00;0
10.04.01.04.00;0
10.04.01.05.00;0
10.04.01.06.00;0
10.04.01.07.00;0
10.04.01.08.00;0
10.04.01.09.00;0
10.04.01.10.00;0
10.04.01.11.00;0
10.04.01.12.00;0
10.04.01.13.00;0
10.04.01.14.00;0
10.04.01.15.00;0
10.04.01.16.00;0
10.04.01.17.00;0
10.04.01.18.00;0
10.04.01.19.00;0
10.04.01.20.00;0
10.04.01.21.00;0
10.04.01.22.00;0
10.04.01.23.00;0
10.05.01.01.00;0
10.05.01.02.00;0
10.05.01.28.00;0
10.06.01.01.00;0
10.06.01.02.00;0
10.06.01.30.00;0
10.14.12.02.76;0
10.14.12.05.76;0
10.15.12.03.76;0
10.15.12.04.76;0
10.15.12.07.76;0
10.16.12.06.76;0
10.16.12.13.57;0
10.16.12.14.10;0
10.17.12.08.76;0
10.17.12.15.77;0
10.18.12.09.76;0
10.18.12.10.76;0
10.18.12.11.76;0
10.18.136.01.01;0
10.19.12.12.07;0
10.19.12.12.10;0
10.19.12.12.56;0
10.19.12.12.57;0
10.19.12.13.06;0
10.19.12.14.10;0
10.19.12.15.18;0
10.19.12.16.06;0
10.19.12.17.10;0
10.19.12.18.18;0
10.19.12.19.06;0
10.19.12.20.10;0
10.19.12.21.18;0
10.19.12.22.06;0
10.19.12.23.10;0
10.19.12.24.06;0
10.19.12.25.10;0
10.19.12.26.06;0
10.19.12.27.10;0
10.19.12.28.06;0
10.19.12.29.10;0
10.19.12.30.06;0
10.19.12.31.10;0
10.19.12.32.00;0
10.19.12.33.00;0
10.19.12.34.00;0
10.19.12.35.00;0
10.19.12.36.06;0
10.19.12.37.76;0
10.19.12.38.06;0
10.19.12.39.76;0
10.19.12.40.06;0
10.19.12.41.76;0
10.19.12.42.06;0
10.19.12.43.76;0
10.19.12.44.06;0
10.19.12.45.76;0
10.19.12.46.06;0
10.19.12.47.76;0
10.19.12.48.06;0
10.19.12.49.76;0
10.19.12.50.00;0
10.19.12.51.00;0
10.19.12.52.00;0
10.20.12.16.07;0
10.20.12.17.77;0
10.20.12.18.07;0
10.20.12.19.77;0
10.20.12.20.77;0
10.20.12.21.77;0
10.20.12.22.76;0
10.20.12.23.76;0
11.21.04.01.01;0
11.21.04.02.05;0
11.21.04.03.17;0
11.21.132.01.06;0
11.21.132.02.01;0
11.21.132.03.11;0
11.21.132.04.57;0
11.21.132.05.06;0
11.21.132.06.01;0
11.21.132.07.11;0
11.21.132.08.76;0
11.21.132.09.06;0
11.21.132.10.01;0
11.21.132.11.11;0
11.21.132.12.76;0
11.21.132.13.06;0
11.21.132.14.01;0
11.21.132.15.11;0
11.21.132.16.76;0
11.21.132.17.06;0
11.21.132.18.01;0
11.21.132.19.11;0
11.21.132.20.76;0
11.21.132.21.06;0
11.21.132.22.01;0
11.21.132.23.06;0
11.21.132.24.01;0
12.30.34.01.06;0
12.30.34.02.06;0
12.31.34.01.05;0
12.31.34.02.05;18
13.32.01.01.01;0
13.32.01.01.15;0
13.32.01.02.01;0
13.32.01.03.99;0
13.32.01.04.17;0
13.32.01.05.15;0
13.32.01.06.01;0
13.32.01.07.110;0
13.32.01.08.11;0
13.32.01.09.37;0
13.32.01.10.01;9
13.32.01.11.01;0
13.32.01.12.00;0
13.32.01.13.00;0
13.32.01.14.00;0
13.32.01.15.00;0
13.32.01.16.00;0
13.32.01.17.00;0
14.33.37.01.18;0
14.33.37.02.07;0
14.33.37.03.08;0
15.34.40.01.06;0
15.34.40.02.06;0
15.34.40.03.06;0
16.04.63.01.00;0
16.35.41.01.06;0
16.35.41.02.00;0
16.35.41.02.06;0
16.35.41.03.01;0
16.35.41.04.01;0
16.35.41.05.01;0
16.35.41.06.01;0
16.35.41.07.00;0
16.35.41.08.10;0
16.35.41.09.06;0
16.35.41.10.10;0
16.35.41.11.06;0
16.35.41.12.10;0
16.35.41.13.01;0
16.35.41.14.00;0
16.35.41.15.00;0
16.35.41.16.10;0
16.35.41.17.06;0
16.35.41.18.00;0
16.35.41.19.00;0
16.35.41.20.00;0
16.35.41.21.00;0
16.35.41.22.00;0
16.35.41.23.00;0
16.35.41.24.00;0
16.35.41.25.00;0
16.35.41.26.00;0
16.35.41.27.00;0
16.35.41.28.00;0
16.35.41.29.00;0
16.35.41.30.00;0
16.35.41.31.00;0
16.35.41.32.00;0
16.35.41.33.00;0
16.35.41.34.00;0
16.35.41.35.00;0
16.35.41.36.00;0
16.35.41.37.00;0
16.35.41.38.00;0
16.35.41.39.00;0
16.35.41.42.00;0
16.35.41.42.01;0
16.35.41.43.00;0
16.35.41.43.01;0
16.35.41.44.06;0
16.35.41.45.00;0
16.35.41.46.00;0
16.35.41.47.00;0
16.35.41.48.00;0
16.35.41.49.00;0
16.35.41.50.00;0
16.35.41.51.00;0
16.35.41.52.00;0
16.35.41.53.00;0
16.35.41.54.00;0
16.35.41.55.00;0
16.35.41.56.01;0
16.35.41.57.06;0
16.35.41.58.06;0
16.35.41.59.01;0
16.35.41.60.01;0
16.35.41.61.06;0
17.36.42.01.16;0
17.36.42.02.16;0
17.36.42.03.16;0
17.36.42.04.16;0
17.36.42.05.07;0
17.36.42.06.07;0
17.36.42.07.07;0
17.36.42.08.07;0
17.36.42.09.07;0
17.36.42.10.07;0
17.36.42.11.07;0
17.36.42.12.06;0
17.36.42.13.06;0
17.36.42.14.06;0
17.36.42.15.06;0
17.36.42.16.112;0
17.36.42.17.01;0
17.36.42.18.10;0
17.36.42.19.10;0
17.36.42.20.01;0
17.36.42.21.04;0
17.36.42.22.04;0
17.36.42.23.10;0
17.36.42.24.17;0
17.36.42.25.17;0
17.36.42.26.17;0
17.36.42.27.17;0
17.36.42.28.76;0
17.36.42.29.76;0
17.36.42.30.05;0
17.36.42.31.05;0
17.36.42.32.05;0
17.36.42.33.05;0
17.36.42.34.05;0
17.36.42.35.05;0
17.36.42.36.01;0
17.36.42.37.01;0
17.36.42.38.01;0
17.36.42.39.01;0
17.36.42.40.01;0
17.36.42.41.18;0
17.36.42.42.113;0
17.36.42.43.11;0
17.36.42.44.11;0
17.36.42.45.11;0
17.36.42.46.11;0
17.36.42.47.08;0
17.36.42.48.08;0
17.36.42.49.08;0
17.36.42.50.08;0
17.36.42.51.110;0
17.36.42.52.110;0
17.36.42.53.10;0
18.01.28.01.10;0
18.01.43.01.00;0
18.01.43.02.00;0
18.01.43.03.00;0
18.01.43.04.00;0
18.01.43.05.00;0
18.01.43.06.00;0
18.01.43.07.00;0
18.01.43.08.00;0
18.01.43.09.00;0
18.01.43.10.00;0
1851;0
19.37.44.01.01;0
19.37.44.02.01;0
19.37.44.03.01;0
19.37.44.04.06;0
19.37.44.05.06;0
19.37.44.06.06;0
19.37.44.07.06;0
19.37.44.08.01;0
19.37.44.09.58;0
19.37.44.10.01;0
19.37.44.11.06;2
19.37.44.12.01;0
2.02.01.001.07;0
