;SKU;Faturamento
0;8.09.03.77.01;828439.64
1;8.09.02.133.01;729277.11
2;8.09.28.78.01;680548.99
3;8.09.02.97.01;674828.88
4;8.25.02.04.06;658509.07
5;8.03.02.47.01;393597.15
6;8.09.24.01.01;355656.16
7;8.09.02.131.01;332889.81
8;8.09.02.130.01;317484.94
9;7.10.49.01.20;314069.561364
10;8.09.02.14.10;303466.43
11;8.09.02.102.27;297140.94
12;8.09.02.134.01;269476.27999999997
13;8.09.23.72.01;240508.7
14;8.09.28.79.01;234196.05000000002
15;8.09.02.135.10;233550.25
16;8.03.02.30.01;227128.63999999998
17;8.07.03.16.01;224103.77
18;8.09.04.96.01;203776.31
19;8.09.04.110.01;196671.77
20;8.09.02.132.10;194404.3
21;8.09.23.73.10;191635.95
22;8.09.02.96.106;189122.08
23;8.09.23.74.01;181296.33
24;8.04.02.07.106;178415.85
25;8.09.02.115.01;173670.45
26;8.03.02.21.01;172952.56
27;8.09.02.85.01;170450.81
28;8.25.02.37.06;168731.58
29;8.01.28.21.00;168199.63999999998
30;8.09.76.62.01;164082.33999999997
31;8.09.76.10.10;152068.63
32;8.06.02.01.80;147890.75
33;8.04.61.10.10;145431.26
34;21.14.50.666.00;143353.4625
35;8.06.02.03.80;140407.45
36;8.07.02.47.80;138547.89
37;8.09.39.24.18;126971.02
38;8.25.02.36.06;126092.3
39;8.09.02.129.10;125363.78
40;24.25.49.04.06;122983.85
41;8.12.01.18.06;116971.67
42;21.14.50.484.00;110973.685
43;8.07.02.04.01;108309.4
44;8.09.02.124.01;107527.14
45;8.09.02.11.10;106061.81
46;8.09.02.04.01;105907.3
47;8.09.02.98.106;105246.05
48;6.30.162.06.06;104613.89
49;8.09.04.128.01;103458.0
50;8.09.02.13.57;101842.0
51;8.07.23.18.01;101778.84
52;8.30.04.01.57;101021.11
53;8.09.01.04.10;97073.87
54;8.09.04.94.07;94785.01
55;8.09.76.61.10;94640.41
56;8.04.61.09.10;91800.05
57;21.14.50.479.00;91409.05
58;8.07.02.46.01;89259.47
